uri,cnter
http://dbpedia.org/ontology/wikiPageExternalLink,238977
http://dbpedia.org/ontology/openingYear,38471
http://dbpedia.org/property/architect,36417
http://dbpedia.org/ontology/location,176368
http://dbpedia.org/property/built,40546
http://dbpedia.org/property/address,38371
http://dbpedia.org/ontology/yearOfConstruction,36242
http://dbpedia.org/ontology/abstract,348156
http://dbpedia.org/property/type,70327
http://dbpedia.org/property/location,200138
http://dbpedia.org/property/name,146820
http://dbpedia.org/property/mile,96354
http://dbpedia.org/ontology/thumbnail,128621
http://dbpedia.org/ontology/wikiPageID,180570
http://dbpedia.org/ontology/wikiPageWikiLink,90868
http://dbpedia.org/property/caption,58989
http://dbpedia.org/property/route,45883
http://dbpedia.org/ontology/wikiPageRevisionID,180570
http://dbpedia.org/property/notes,72120
http://dbpedia.org/ontology/address,36603
