uri,cnter
http://dbpedia.org/ontology/debutTeam,19564
http://dbpedia.org/property/dateOfBirth,20433
http://dbpedia.org/property/throws,21279
http://dbpedia.org/property/birthDate,21688
http://dbpedia.org/ontology/position,23739
http://dbpedia.org/ontology/birthPlace,24966
http://dbpedia.org/ontology/wikiPageID,21369
http://dbpedia.org/property/name,42564
http://dbpedia.org/property/teams,20457
http://dbpedia.org/property/position,24019
http://dbpedia.org/property/birthPlace,23485
http://dbpedia.org/property/shortDescription,20657
http://dbpedia.org/property/placeOfBirth,21928
http://dbpedia.org/property/bats,21284
http://dbpedia.org/property/debutteam,19810
http://dbpedia.org/ontology/birthYear,20395
http://dbpedia.org/ontology/wikiPageRevisionID,21369
http://dbpedia.org/property/debutleague,19492
http://dbpedia.org/ontology/birthDate,21844
http://dbpedia.org/ontology/abstract,34357
