uri,cnter
http://dbpedia.org/ontology/wikiPageExternalLink,4086
http://dbpedia.org/ontology/genre,1759
http://dbpedia.org/property/notableWork,1265
http://dbpedia.org/ontology/influencedBy,1101
http://dbpedia.org/property/birthDate,1070
http://dbpedia.org/property/dateOfBirth,1003
http://dbpedia.org/ontology/birthPlace,2117
http://dbpedia.org/ontology/wikiPageID,1276
http://dbpedia.org/ontology/wikiPageWikiLink,5019
http://dbpedia.org/property/name,2456
http://dbpedia.org/property/birthPlace,1823
http://dbpedia.org/property/medium,1738
http://dbpedia.org/property/shortDescription,1162
http://dbpedia.org/property/placeOfBirth,1508
http://dbpedia.org/property/genre,1692
http://dbpedia.org/property/influences,1053
http://dbpedia.org/ontology/wikiPageRevisionID,1276
http://dbpedia.org/ontology/abstract,3452
http://dbpedia.org/ontology/birthDate,1174
http://dbpedia.org/property/subject,1061
