uri,cnter
http://dbpedia.org/ontology/wikiPageExternalLink,45445
http://dbpedia.org/property/dateOfBirth,31911
http://dbpedia.org/property/termEnd,38449
http://dbpedia.org/ontology/birthPlace,43324
http://dbpedia.org/ontology/wikiPageID,37884
http://dbpedia.org/property/name,65417
http://dbpedia.org/ontology/wikiPageWikiLink,48360
http://dbpedia.org/ontology/activeYearsStartDate,29096
http://dbpedia.org/property/birthPlace,37194
http://dbpedia.org/property/shortDescription,35775
http://dbpedia.org/property/placeOfBirth,33263
http://dbpedia.org/property/office,29983
http://dbpedia.org/property/termStart,45068
http://dbpedia.org/property/predecessor,31888
http://dbpedia.org/ontology/birthYear,31885
http://dbpedia.org/ontology/wikiPageRevisionID,37884
http://dbpedia.org/property/years,31915
http://dbpedia.org/ontology/abstract,79401
http://dbpedia.org/ontology/birthDate,33866
http://dbpedia.org/property/successor,29224
