uri,cnter
http://dbpedia.org/ontology/wikiPageExternalLink,102888
http://dbpedia.org/property/caps,423029
http://dbpedia.org/property/clubs,528360
http://dbpedia.org/property/birthDate,105539
http://dbpedia.org/ontology/position,109439
http://dbpedia.org/ontology/abstract,267285
http://dbpedia.org/ontology/team,602270
http://dbpedia.org/ontology/wikiPageID,108202
http://dbpedia.org/property/name,207557
http://dbpedia.org/ontology/careerStation,710205
http://dbpedia.org/property/position,114049
http://dbpedia.org/property/birthPlace,162562
http://dbpedia.org/property/shortDescription,100759
http://dbpedia.org/property/goals,287689
http://dbpedia.org/ontology/wikiPageWikiLink,113323
http://dbpedia.org/ontology/wikiPageRevisionID,108202
http://dbpedia.org/property/years,484551
http://dbpedia.org/ontology/birthPlace,178357
http://dbpedia.org/ontology/birthDate,109011
http://dbpedia.org/property/placeOfBirth,135259
